Date,MICROSOFT,SANDP,CPI,INDPRO,M1SUPPLY,CCREDIT,BMINUSA,USTB3M,USTB10Y,BLACKROCK
1999-10-01,46.28125,1362.930054,168.2,92.9976,1095.1,1519.3952,0.830000000000001,5.02,6.109999999999999,14.125
1999-11-01,45.523399,1388.910034,168.3,93.444,1113.0,1531.9609,0.79,5.23,6.03,14.75
1999-12-01,58.375,1469.25,168.3,94.1555,1148.2,1553.622,0.6399999999999997,5.36,6.28,18.5625
2000-02-01,44.6875,1366.420044,169.8,94.4329,1097.4,1549.3285,0.6099999999999994,5.73,6.5200000000000005,17.75
2000-03-01,53.125,1498.579956,171.2,94.7926,1108.9,1553.765,0.6899999999999995,5.86,6.260000000000001,21.75
2000-05-01,31.28125,1420.599976,171.5,95.6421,1100.4,1576.8,0.9100000000000001,5.99,6.44,24.0
2000-06-01,40.0,1454.599976,172.4,95.7364,1101.8,1601.7713,0.8100000000000005,5.86,6.1000000000000005,24.375
2000-08-01,34.90625,1517.680054,172.8,95.3172,1094.5,1649.8667,0.71,6.28,5.83,33.625
2000-09-01,30.15625,1436.51001,173.7,95.6844,1088.8,1667.073,0.7299999999999995,6.18,5.8,41.6875
2000-11-01,28.6875,1314.949951,174.1,95.4158,1092.1,1705.9647,0.8299999999999992,6.36,5.720000000000001,42.375
2000-12-01,21.6875,1320.280029,174.0,95.1619,1111.7,1741.2669,0.8099999999999996,5.94,5.24,43.8125
2001-02-01,29.5,1239.939941,175.8,93.9755,1089.8,1746.9784,0.7700000000000005,5.01,5.1,41.0
2001-03-01,27.34375,1160.329956,176.2,93.7253,1111.2,1749.7244,0.8599999999999994,4.54,4.89,40.29999923706055
2001-05-01,34.59,1255.819946,177.7,92.8842,1114.7,1773.8828,0.7800000000000002,3.7,5.390000000000001,34.25
2001-06-01,36.5,1224.380005,178.0,92.3317,1126.3,1784.2492,0.79,3.57,5.279999999999999,35.470001220703125
2001-08-01,28.525,1133.579956,177.5,91.6849,1144.5,1805.4935,0.8300000000000001,3.44,4.97,40.15999984741211
2001-10-01,29.075001,1059.780029,177.7,90.9389,1159.2,1832.5003,0.8799999999999999,2.2,4.57,40.150001525878906
2001-11-01,32.105,1139.449951,177.4,90.4853,1169.0,1863.0953,0.8399999999999999,1.91,4.65,43.310001373291016
2002-02-01,29.17,1106.72998,177.8,91.0698,1178.3,1880.3387,1.38,1.76,4.91,42.970001220703125
2002-03-01,30.155001,1147.390015,178.8,91.8012,1196.8,1883.5163,1.2999999999999998,1.83,5.28,44.880001068115234
2002-04-01,26.129999,1076.920044,179.8,92.1815,1196.9,1895.6902,1.2699999999999996,1.75,5.21,44.900001525878906
2002-05-01,25.455,1067.140015,179.8,92.5668,1186.0,1906.4724,1.3399999999999999,1.76,5.16,46.349998474121094
2002-07-01,23.99,911.619995,180.1,93.2282,1200.4,1928.371,1.37,1.71,4.65,43.849998474121094
2002-08-01,24.540001,916.070007,180.7,93.227,1182.3,1946.781,1.21,1.65,4.26,41.88999938964844
2002-10-01,26.735001,885.76001,181.3,93.0804,1196.6,1960.5578,1.4100000000000001,1.61,3.9400000000000004,41.279998779296875
2002-11-01,28.84,936.309998,181.3,93.5589,1205.3,1970.6353,1.3100000000000005,1.25,4.05,35.45000076293945
2003-04-01,25.57,916.919983,183.8,93.0815,1259.6,2004.1979,1.1099999999999994,1.15,3.96,43.5
2003-05-01,24.610001,963.590027,183.5,93.1002,1266.6,2018.08,1.1600000000000001,1.09,3.5700000000000003,45.20000076293945
2003-07-01,26.41,990.309998,183.9,93.6579,1287.9,2028.5536,1.13,0.92,3.98,46.20000076293945
2003-08-01,26.52,1008.01001,184.6,93.5162,1292.2,2049.0986,1.13,0.97,4.45,45.18000030517578
2003-10-01,26.139999,1050.709961,185.0,94.2091,1288.8,2069.6832,1.0300000000000002,0.94,4.29,50.310001373291016
2003-12-01,27.370001,1111.920044,184.3,94.8627,1332.5,2102.932,0.9799999999999995,0.91,4.27,51.54999923706055
2004-03-01,24.93,1126.209961,187.4,95.2063,1337.9,2096.472,0.7800000000000002,0.95,3.83,60.31999969482422
2004-04-01,26.129999,1107.300049,188.0,95.6346,1343.2,2101.0033,0.7299999999999995,0.96,4.35,66.0
2004-06-01,28.559999,1140.839966,189.7,95.6045,1347.7,2114.5394,0.7700000000000005,1.29,4.73,63.20000076293945
2004-07-01,28.49,1101.719971,189.4,96.3379,1338.8,2124.4681,0.7999999999999998,1.36,4.5,64.1500015258789
2004-09-01,27.65,1114.579956,189.9,96.4943,1349.1,2164.8745,0.8099999999999996,1.68,4.13,73.72000122070312
2004-10-01,27.969999,1130.199951,190.9,97.4107,1351.4,2181.5729,0.7400000000000002,1.79,4.1,74.33999633789062
